A;B;shapetime;ms;gar;interval;parson
deut4424;deut4449;0,34938498;0,1651700192;0,2382291667;0,2;0,2083333333
deut4424;deut4450;0,49599621;0,1666666667;0,283125;0,1909090909;0,2272727273
deut4424;deut4456;0,60471515;0,5510057471;0,1021875;0,4482758621;0,6206896552
deut4424;deut4465;0,23976956;0,3896186827;0,2992063492;0,256097561;0,3048780488
deut4424;deut4475;0,21767025;0,118826329;0,20484375;0,1956521739;0,2717391304
deut4424;deut4495;0,65634137;0,3571055381;0,4675;0,3;0,475
deut4425;deut4400;-0,01893939;0,3527298851;0,3436904762;0,2680412371;0,412371134
deut4425;deut4417;-0,00757576;0,1117774446;0,2931702899;0,2651515152;0,3560606061
deut4425;deut4425;6,5514;1;1;1;1
deut4425;deut4440;-0,02272727;0,452631819;0,4173015873;0,350877193;0,5087719298
deut4425;deut4445;-0,00757576;0,381330819;0,2890625;0,3684210526;0,4868421053
deut4425;deut4452;-0,01388889;0,5525323276;0,33984375;0,2765957447;0,5106382979
deut4425;deut4463;0,02780751;0,365077227;0,240859375;0,358490566;0,5660377358
deut4425;deut4472;0,06200016;0,4050826149;0,461875;0,2765957447;0,5106382979
deut4425;deut4476;-0,00775194;0,5524425287;0,4245;0,2978723404;0,5531914894
deut4425;deut4483;0,07326206;0,1982758621;0,4067361111;0,3918918919;0,5540540541
deut4426;deut4412;-0,0635276;0,6391682631;0,4045833333;0,2916666667;0,6041666667
deut4426;deut4423;0,03936786;0,2613218391;0,33375;0,3452380952;0,5238095238
deut4426;deut4425;0,03538327;0,5837823276;0,426875;0,3958333333;0,5416666667
deut4426;deut4426;6,5514;1;1;1;1
deut4426;deut4446;-0,04338699;0,5786637931;0,33953125;0,3541666667;0,5833333333
deut4426;deut4472;0,04961194;0,5068760263;0,5076785714;0,3541666667;0,5208333333
deut4426;deut4477;0,03268682;0,5144875479;0,5544791667;0,3333333333;0,5625
deut4426;deut4482;0,0477631;0,6728927203;0,5853333333;0,4375;0,6041666667
deut4426;deut4483;0,0091732;0,1742397031;0,3636458333;0,3513513514;0,472972973
deut4426;deut4489;-0,02803384;0,6272898707;0,519375;0,3333333333;0,5
deut4427;deut4423;0,03099906;0,1678448276;0,240725;0,3333333333;0,5476190476
deut4427;deut4427;6,5514;1;1;1;1
deut4427;deut4428;0,44064144;0,3511733716;0,2748958333;0,3648648649;0,4864864865
deut4427;deut4431;-0,04763298;0,3768757982;0,4110416667;0,2972972973;0,3918918919
deut4427;deut4442;0,19016261;0,4441570881;0,4168333333;0,3513513514;0,5675675676
deut4427;deut4444;0,06530869;0,1988146552;0,4065364583;0,3076923077;0,5512820513
deut4427;deut4453;0,24405964;0,3466834291;0,3335416667;0,2837837838;0,3783783784
deut4427;deut4454;-0,05104928;0,3111230843;0,2597916667;0,2567567568;0,3918918919
deut4427;deut4474;0,08242059;0,3621373837;0,4279166667;0,2972972973;0,4189189189
deut4427;deut4485;0,0571351;0,3608317369;0,350625;0,2567567568;0,4594594595
deut4428;deut4416;0,34649239;0,3953544061;0,375;0,2898550725;0,5072463768
deut4428;deut4427;0,44064144;0,3511733716;0,2748958333;0,3648648649;0,4864864865
deut4428;deut4428;6,5514;1;1;1;1
deut4428;deut4437;0,67053915;0,5660021552;0,4178125;0,3333333333;0,537037037
deut4428;deut4439;-0,04458198;0,1030416396;0,2720283019;0,3095238095;0,4285714286
deut4428;deut4442;0,05843559;0,572605364;0,4433333333;0,2653061224;0,4693877551
deut4428;deut4443;0,27202789;0,5965517241;0,387;0,2978723404;0,4680851064
deut4428;deut4453;0,37632609;0,5166427203;0,3497916667;0,375;0,525
deut4428;deut4474;0,26176312;0,4696565408;0,3932142857;0,4;0,475
deut4428;deut4477;-0,03126653;0,4221743295;0,49625;0,4042553191;0,5106382979
deut4429;deut4398;-0,05909612;0,4453639847;0,4569333333;0,2794117647;0,4117647059
deut4429;deut4404;-0,0685029;0,5988354507;0,3532894737;0,4642857143;0,6428571429
deut4429;deut4412;0,11368696;0,5862447066;0,2464473684;0,3333333333;0,5833333333
deut4429;deut4425;0,0300303;0,4995840895;0,3222368421;0,2765957447;0,4468085106
deut4429;deut4429;6,5514;1;1;1;1
deut4429;deut4430;3,55403942;0,2496218996;0,3109210526;1;1
deut4429;deut4437;0,129408;0,4909255898;0,1551315789;0,2777777778;0,462962963
deut4429;deut4446;-0,09819153;0,5380369026;0,3902631579;0,4523809524;0,619047619
deut4429;deut4472;-0,05146899;0,3996521476;0,3307894737;0,358974359;0,5897435897
deut4429;deut4491;0,16635687;0,5109271022;0,4771052632;0,4054054054;0,6216216216
deut4430;deut4398;-0,02858759;0,1513793103;0,2854666667;0,2794117647;0,4117647059
deut4430;deut4404;-0,03672319;0,3121408046;0,48953125;0,4642857143;0,6428571429
deut4430;deut4412;0,08317843;0,3004869093;0,4311111111;0,3333333333;0,5833333333
deut4430;deut4425;0,01958057;0,3020384339;0,40546875;0,2765957447;0,4468085106
deut4430;deut4429;3,55403942;0,2496218996;0,3109210526;1;1
deut4430;deut4430;6,5514;1;1;1;1
deut4430;deut4437;-0,04384186;0,3435704023;0,34875;0,2777777778;0,462962963
deut4430;deut4446;-0,0905644;0,3369252874;0,4771875;0,4523809524;0,619047619
deut4430;deut4472;-0,02096046;0,3974856322;0,39825;0,358974359;0,5897435897
deut4430;deut4491;0,12059409;0,332345546;0,4453125;0,4054054054;0,6216216216
deut4431;deut4399;0,01783218;0,5853687739;0,4139583333;0,3230769231;0,4615384615
deut4431;deut4417;0,14847208;0,1270510578;0,3055072464;0,2121212121;0,2424242424
deut4431;deut4431;6,5514;1;1;1;1
deut4431;deut4440;0,33424879;0,5474822113;0,5129365079;0,4385964912;0,5438596491
deut4431;deut4454;0,29653162;0,4956896552;0,3472222222;0,3125;0,5625
deut4431;deut4455;0,0744015;0,3514805097;0,5573913043;0,34375;0,59375
deut4431;deut4456;0,42989181;0,3646232439;0,1744444444;0,4375;0,59375
deut4431;deut4463;0,15621777;0,3762771392;0,3681944444;0,4339622642;0,5094339623
deut4431;deut4476;1,12236542;0,6206896552;0,5415;0,5434782609;0,652173913
deut4431;deut4483;0,04141149;0,2352829662;0,4164583333;0,3513513514;0,4189189189
deut4432;deut4406;0,11051927;0,4251605815;0,4794117647;0,3947368421;0,5789473684
deut4432;deut4432;6,5514;1;1;1;1
